date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:02	83680/83680	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202024%2002:31:04%20GMT	https://zaap.bio/wigwamman	D:/wigwam%202/zaap.bio/wigwamman.html	(from )
19:31:02	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5ee749e6ca3c8%22	https://zaap.bio/robots.txt		(from )
19:31:03	95609/95609	---M-Z	200	added ('OK')	text/css	etag:W/%2217579-AwBvMnkuAzSX6cpoNztsM4YwWTM%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	D:/wigwam%202/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css	(from https://zaap.bio/wigwamman)
19:31:03	98467/98467	---M--	200	added ('OK')	image/png	etag:%2221e9f5575deec94264e4084e33da06f4%22	https://images.zaap.ai/public/2923a9da1aeda479e26846cc485ab96b91d4fa8a95175d9c7b8d.png	D:/wigwam%202/images.zaap.ai/public/2923a9da1aeda479e26846cc485ab96b91d4fa8a95175d9c7b8d.png	(from https://zaap.bio/wigwamman)
19:31:03	155845/155845	---M-Z	200	added ('OK')	text/css	etag:W/%22260c5-fByeBXPlzqi603M74vxjqoxo6o0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	D:/wigwam%202/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css	(from https://zaap.bio/wigwamman)
19:31:03	78743/78743	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213397-kBFpUnUH/55mLPZNjjYfNZMIlw0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	D:/wigwam%202/cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js	(from https://zaap.bio/wigwamman)
19:31:04	1973/1973	---M-Z	200	added ('OK')	text/css	etag:%227b5-60bd7109d8b40-gzip%22	https://zaap.bio/assets/page/css/app.css	D:/wigwam%202/zaap.bio/assets/page/css/app.css	(from https://zaap.bio/wigwamman)
19:31:04	289875/289875	---M-Z	200	added ('OK')	text/css	etag:%2246c53-60e33cef99a06-gzip%22	https://zaap.bio/assets/page/css/bootstrap.min.css	D:/wigwam%202/zaap.bio/assets/page/css/bootstrap.min.css	(from https://zaap.bio/wigwamman)
19:31:04	93704/93704	---M-Z	200	added ('OK')	text/css	etag:%2216e08-61a4d741fbedf-gzip%22	https://zaap.bio/assets/page/css/custom.css	D:/wigwam%202/zaap.bio/assets/page/css/custom.css	(from https://zaap.bio/wigwamman)
19:31:04	12052/12052	---M-Z	200	added ('OK')	text/css	etag:%222f14-61a4d741fbedf-gzip%22	https://zaap.bio/assets/page/css/link-custom.css?v=20240617023104	D:/wigwam%202/zaap.bio/assets/page/css/link-custom89f5.css	(from https://zaap.bio/wigwamman)
